life_expectancy_year_1990_both_sex,life_expectancy_year_1990_female,life_expectancy_year_1990_male,life_expectancy_year_2000_both_sex,life_expectancy_year_2000_female,life_expectancy_year_2000_male,life_expectancy_year_2010_both_sex,life_expectancy_year_2010_female,life_expectancy_year_2010_male,margin_of_error_year_1990_both_sex,margin_of_error_year_1990_female,margin_of_error_year_1990_male,margin_of_error_year_2000_both_sex,margin_of_error_year_2000_female,margin_of_error_year_2000_male,margin_of_error_year_2010_both_sex,margin_of_error_year_2010_female,margin_of_error_year_2010_male,state_city_county
75.24,78.72,71.57,75.84,78.16,73.27,77.37,79.92,74.74,0.6,0.8,0.85,0.58,0.79,0.83,0.56,0.74,0.83,Madison
75.31,78.47,71.94,75.71,78.59,72.68,75.15,77.71,72.61,1.39,1.85,1.99,1.47,1.98,2.1,1.51,2.07,2.16,Marion
77.66,80.28,74.97,77.85,79.64,75.94,77.31,79.65,74.97,2.65,3.85,3.47,2.56,3.59,3.58,2.72,3.44,4.24,Marshall
75.72,78.9,72.58,77.21,80.37,74.08,76.0,77.91,74.05,2.41,3.33,3.39,2.16,2.76,3.23,2.7,3.59,3.95,Mason
75.01,79.33,70.62,73.92,76.01,71.64,75.79,78.01,73.41,2.5,3.02,3.81,2.22,3.1,3.13,2.38,3.21,3.49,Massac
76.2,78.8,73.29,76.06,80.04,72.34,78.63,80.26,76.77,2.8,3.67,4.14,2.95,3.53,4.49,2.56,3.82,3.5,Menard
77.28,80.7,73.81,77.97,81.29,74.75,80.08,82.99,77.13,2.33,3.08,3.38,2.01,2.57,2.95,2.24,2.73,3.46,Mercer
77.64,80.47,74.71,78.57,81.54,75.48,80.37,82.82,77.91,1.79,2.46,2.51,1.67,2.22,2.35,1.54,1.83,2.4,Monroe
76.27,79.56,72.95,76.25,79.74,73.04,77.18,79.27,75.16,1.69,2.38,2.28,1.63,2.18,2.26,1.79,2.58,2.45,Montgomery
75.94,78.78,72.81,76.78,79.35,74.14,78.92,81.65,76.15,1.57,2.17,2.17,1.5,1.9,2.23,1.44,2.03,1.96,Morgan
76.43,79.41,73.22,76.64,79.13,73.89,77.86,80.92,74.81,2.41,3.14,3.56,2.37,3.14,3.47,2.33,2.87,3.54,Moultrie
77.44,80.84,74.03,77.93,80.35,75.45,79.53,81.04,78.04,1.41,1.91,1.98,1.28,1.65,1.91,1.28,1.77,1.83,Ogle
76.06,79.66,72.26,77.08,79.7,74.21,77.87,80.43,75.18,0.7,0.92,1.0,0.69,0.93,1.0,0.7,0.95,1.01,Peoria
76.69,80.12,73.09,77.36,79.47,75.32,77.86,81.69,74.65,1.92,2.81,2.52,1.89,2.48,2.69,1.82,2.47,2.43,Perry
76.57,80.16,72.88,78.73,81.47,75.69,79.66,81.99,77.44,2.34,3.16,3.28,2.3,3.15,3.25,2.19,2.59,3.33,Piatt
76.84,80.42,73.2,77.68,79.04,76.12,79.06,81.31,76.79,2.29,2.78,3.53,2.13,3.01,2.96,2.01,2.93,2.68,Pike
79.01,81.81,76.55,77.95,78.9,76.92,78.12,80.74,76.19,3.1,3.83,4.59,3.98,6.13,5.14,4.99,5.34,7.31,Pope
75.03,76.84,73.02,73.24,74.94,71.29,75.99,79.78,72.19,3.39,4.63,4.82,3.63,5.0,5.16,3.51,4.01,5.56,Pulaski
77.62,81.29,74.23,78.23,81.84,74.99,80.99,85.4,77.26,3.76,5.34,5.1,3.97,5.22,5.96,3.65,5.47,5.33,Putnam
75.44,79.39,71.89,76.13,78.88,73.29,77.19,79.46,75.1,1.65,2.2,2.32,1.74,2.38,2.48,1.57,2.34,2.07,Randolph
76.71,80.07,73.15,77.8,80.72,74.71,79.26,82.48,76.05,2.33,3.1,3.32,2.26,2.99,3.28,2.13,2.48,3.29,Richland
75.45,79.1,71.71,77.39,80.0,74.59,78.63,81.29,75.87,0.77,1.01,1.11,0.74,1.0,1.05,0.76,1.02,1.09,Rock Island
72.92,76.6,69.07,74.61,77.45,71.53,76.88,79.71,73.9,0.63,0.84,0.9,0.62,0.84,0.89,0.58,0.75,0.87,St. Clair
74.14,77.29,70.81,73.82,76.9,70.57,74.75,76.95,72.57,1.67,2.29,2.34,1.84,2.48,2.65,1.84,2.45,2.72,Saline
76.28,79.63,72.5,76.9,79.74,73.75,78.06,80.72,75.2,0.71,0.92,1.05,0.68,0.9,0.98,0.67,0.88,0.98,Sangamon
74.53,81.16,68.77,77.3,79.77,74.82,79.92,82.0,77.92,3.96,3.84,6.22,3.37,4.78,4.64,2.81,3.87,4.04,Schuyler
78.85,80.64,76.49,77.03,77.49,76.52,78.35,79.51,76.94,4.14,6.37,5.23,3.89,5.72,4.93,3.99,6.73,4.6,Scott
77.39,80.67,74.17,77.72,80.61,74.92,79.71,82.78,76.73,1.97,2.54,2.88,2.05,2.74,2.94,1.93,2.75,2.68,Shelby
77.15,81.44,72.83,76.19,79.09,73.09,77.27,78.45,75.63,3.73,4.35,5.96,3.58,4.56,5.56,3.82,5.73,5.43,Stark
77.59,81.15,73.86,78.26,81.41,74.93,79.53,81.88,77.0,1.37,1.82,1.97,1.24,1.52,1.9,1.32,1.8,1.88,Stephenson
77.1,80.08,73.91,77.93,79.92,75.75,78.59,80.76,76.36,0.82,1.07,1.19,0.79,1.07,1.13,0.74,0.99,1.08,Tazewell
74.48,77.71,71.27,75.17,78.44,71.97,76.55,79.15,74.06,2.25,3.27,3.03,1.97,2.57,2.89,2.26,3.12,3.21,Union
74.8,78.79,70.88,75.52,77.84,73.12,76.15,78.52,73.83,1.0,1.29,1.45,1.03,1.48,1.42,1.04,1.39,1.51,Vermilion
76.48,79.17,73.52,78.11,81.4,74.79,77.09,79.96,74.28,2.46,3.46,3.36,2.56,3.23,3.79,2.69,3.57,3.83,Wabash
76.38,78.63,73.85,77.91,79.77,75.8,79.02,83.39,74.91,2.13,3.02,2.94,1.86,2.56,2.64,2.05,2.35,3.11,Warren
