"county","state","voteshare","year","dem1912_3party","note","incparty","incumbency","attacks","electionyearattacks","coastal"
"BUTLER","AL",0.39075630903244,1900,NA,".",-1,-1,0,0,0
"BUTLER","AL",0.906451642513275,1904,NA,".",-1,0,0,0,0
"BUTLER","AL",0.841004192829132,1908,NA,".",-1,0,0,0,0
"BUTLER","AL",0.91309130191803,1912,0.844354033470154,".",-1,-1,0,0,0
"BUTLER","AL",0.9375,1916,NA,".",1,1,0,0,0
"BUTLER","AL",0.894630193710327,1920,NA,".",1,0,0,0,0
"BUTLER","AL",0.917400896549225,1924,NA,".",-1,-1,0,0,0
"BUTLER","AL",0.638999998569489,1928,NA,".",-1,0,0,0,0
"BUTLER","AL",0.96884423494339,1932,NA,".",-1,-1,0,0,0
"BUTLER","AL",0.965897679328918,1936,NA,".",1,1,0,0,0
"BUTLER","AL",0.9809809923172,1940,NA,".",1,1,0,0,0
"BUTLER","AL",0.959879636764526,1944,NA,".",1,1,0,0,0
"BUTLER","AL",0.93592232465744,1948,NA,".",1,1,0,0,0
"BUTLER","AL",0.691807568073273,1952,NA,".",1,0,0,0,0
"BUTLER","AL",0.596599996089935,1956,NA,".",-1,-1,0,0,0
"BUTLER","AL",0.705099999904633,1960,NA,".",-1,0,0,0,0
"BUTLER","AL",0,1964,NA,".",1,1,0,0,0
"BUTLER","AL",0.712599992752075,1968,NA,".",1,0,0,0,0
"BUTLER","AL",0.230199992656708,1972,NA,".",-1,-1,0,0,0
"BUTLER","AL",0.594799995422363,1976,NA,".",-1,-1,0,0,0
"BUTLER","AL",0.521700024604797,1980,NA,".",1,1,0,0,0
"BUTLER","AL",0.424299985170364,1984,NA,".",-1,-1,0,0,0
"BUTLER","AL",0.46900001168251,1988,NA,".",-1,0,0,0,0
"BUTLER","AL",0.535099983215332,1992,NA,".",-1,-1,0,0,0
"BUTLER","AL",0.533100008964539,1996,NA,".",1,1,0,0,0
"BUTLER","AL",0.466300010681152,2000,NA,".",1,0,0,0,0
"BUTLER","AL",0.406699985265732,2004,NA,".",-1,-1,0,0,0
"BUTLER","AL",0.43299999833107,2008,NA,".",-1,0,0,0,0
"BUTLER","AL",0.462287843227386,2012,NA,".",1,1,0,0,0
"CALHOUN","AL",0.814999997615814,1872,NA,".",-1,-1,0,0,0
"CALHOUN","AL",0.828999996185303,1876,NA,".",-1,0,0,0,0
